phone_number,plan_id,start_date,l_minutes,s_minutes,i_minutes,calls,sms
77308938878,16,2021-04-07,80564,2173,92,9518,315
98551828963,14,2020-04-30,70411,9209,87,9561,209
87133450206,4,2020-09-06,116020,4740,110,10272,1197
83174213629,6,2020-09-10,91481,8606,50,8157,1162
78371876837,2,2021-07-13,35146,10950,6,11478,24
75686101826,8,2020-03-25,19201,9063,46,231,386
88306525414,6,2020-03-25,79954,4609,63,10034,557
95117613517,4,2021-12-24,112769,5822,2,9,174
90538699656,16,2020-07-07,77445,9548,73,7186,1020
70397588312,18,2022-02-04,90690,3017,38,9253,743
99365651157,14,2021-03-07,13,1204,111,1221,921
82999068902,22,2021-02-01,22061,7763,81,10174,606
82232279093,12,2020-07-19,111560,8123,106,9284,436
96059588197,8,2021-03-11,13746,7556,22,9287,758
78740472632,26,2021-08-03,92000,11002,20,6541,981
98122566071,14,2021-06-27,100054,10477,35,8143,529
92051044835,14,2020-04-16,63206,5343,36,1145,270
72654130360,20,2021-05-26,7145,489,39,3018,687
87675639141,20,2021-05-16,63580,5500,95,1951,618
75970580134,8,2021-08-28,3998,11669,84,8828,795
98151490005,28,2020-12-27,110391,6136,114,7935,858
93326785754,2,2021-06-29,89344,7627,0,5699,731
88180831249,24,2020-03-27,66035,2796,62,11979,45
76649053635,10,2020-07-20,26856,6651,72,1418,623
78668276402,12,2021-07-31,54116,6513,16,5247,793
93452115080,14,2020-06-20,85229,785,50,11888,747
92408289044,22,2021-08-08,110908,4234,57,6145,975
88976077315,8,2020-11-04,110054,1422,88,7477,654
88835464449,16,2020-10-25,23027,4194,93,5300,236
73439951908,16,2021-03-13,110818,11851,22,2229,522
73760021605,20,2020-06-13,104838,11468,8,2969,1003
95759447711,2,2021-03-02,67411,3220,80,506,734
78146205227,10,2020-08-16,45502,2026,39,1007,572
83761311729,18,2020-09-09,20661,7380,119,5267,654
76454620645,30,2021-03-08,71271,11077,32,5967,635
78953872800,28,2021-07-27,109333,9646,73,9858,364
71245935809,2,2021-12-11,23617,8285,45,3585,396
93422492472,10,2020-08-14,19,6550,95,159,429
95427245738,2,2021-08-08,53830,7989,108,10564,670
75807086754,22,2020-12-08,48717,7302,25,9168,338
72306589234,6,2022-01-30,92570,7687,119,9115,1127
98606862673,14,2021-01-13,68906,10581,109,2273,152
89903178166,30,2021-09-03,66988,8326,20,7618,587
85891715689,20,2021-10-14,72696,1786,19,10529,591
85662569353,16,2020-03-18,97615,1387,82,8125,1118
99443530055,14,2021-05-18,114482,11356,92,8712,921
91502283250,28,2021-03-08,4396,2514,68,1297,593
96460897398,14,2021-03-05,45119,6033,82,3901,486
76830777211,26,2020-09-16,38695,11115,116,5243,132
81604328064,18,2022-01-25,8156,9112,118,11972,137
90053865140,28,2020-05-22,5160,9562,93,6484,55
89885530778,10,2020-03-31,88967,5346,45,5432,939
91172965612,24,2020-03-16,10708,9304,88,7298,474
82032968445,10,2021-06-25,84547,7441,35,10435,1098
99137312474,8,2021-11-13,6538,9818,120,8064,677
90250925637,18,2020-12-12,39021,9424,76,4070,889
99679394233,16,2020-06-26,64109,4230,113,1664,478
81349177852,30,2020-08-19,43521,2521,111,10233,655
94838529416,16,2020-11-27,67912,3216,17,9717,1142
80372348578,22,2020-09-22,77006,8270,38,1713,220
89951076668,2,2020-09-21,51751,594,78,3923,201
90722309387,12,2020-12-29,86785,10594,66,10518,641
95695639401,4,2021-06-17,87536,7891,19,6335,82
75974808527,4,2021-08-14,58205,6021,40,5833,1190
89050079345,12,2020-08-02,51192,6978,16,4973,229
73239930721,20,2020-10-25,117270,1725,43,2943,17
97439301518,18,2020-07-22,14084,7849,85,7606,793
93779812987,12,2020-10-18,2215,7913,48,867,600
78939813283,10,2020-10-15,64174,6229,81,7782,631
96655478405,4,2020-12-13,7485,9523,18,11894,589
93471088777,16,2020-09-28,106558,5358,69,10084,749
90121480082,18,2021-08-28,68751,10748,71,807,390
91081516462,8,2021-11-27,84898,4553,27,2824,296
81665973644,24,2020-09-23,24582,9072,83,5426,589
82758955915,28,2020-05-31,47727,8712,88,7922,819
80759567252,28,2021-02-09,49004,7714,46,4032,554
98096136464,6,2021-02-17,92921,8454,72,688,387
81933527290,24,2020-09-24,25259,11713,70,9749,771
93743827370,18,2021-03-19,68309,3755,41,6100,472
85481450207,22,2020-08-16,83355,2145,66,6640,657
93257900849,10,2021-05-18,110424,7092,86,9889,264
97454102153,12,2021-05-01,15787,3899,16,8990,485
96906751235,28,2021-12-08,35253,2853,108,9427,309
82487559165,24,2020-05-26,16341,4022,68,1058,489
71997695043,4,2020-11-09,16011,5475,11,3091,859
96396322232,28,2021-07-01,5651,1210,114,7207,99
86551247360,6,2021-10-23,58471,326,50,9655,1173
99510131436,10,2020-04-16,100677,135,2,4199,286
72948998131,24,2020-07-19,16437,7804,22,8192,350
91790906042,20,2021-03-04,58322,7505,73,2602,446
93257075725,16,2020-12-13,25073,6665,60,7222,485
82529548393,12,2021-02-04,70060,11891,55,8975,198
98751815355,2,2021-07-13,107329,5773,31,9107,1145
89473961301,8,2020-05-05,13140,4038,81,6840,113
99488235214,16,2020-06-26,33295,10761,79,10660,207
86926588444,16,2021-12-03,61811,632,63,1608,33
