ID,name,phone_number,sex,aadhaar,email,birthdate
73853,hariom urf kalu yadav,77308938878,m,6948328685801,hariom_urf_kalu_yadav@gmail.com,1997-4-14
48108,mohd.  amjad,98551828963,m,6809211141710,mohd.__amjad@gmail.com,1992-6-24
47875,neeraj,87133450206,m,3981637584106,neeraj@gmail.com,1989-1-20
62991,parveen kumar,83174213629,m,7054261721789,parveen_kumar@gmail.com,1994-4-9
44270,parveen aggarwal,78371876837,m,9764211100161,parveen_aggarwal@gmail.com,1991-1-11
3556,harish kumar,75686101826,m,3529173367859,harish_kumar@gmail.com,1999-1-11
93070,raghunandan das,88306525414,m,1247016463446,raghunandan_das@gmail.com,2001-7-6
27158,numesh kumar,95117613517,m,4634257952218,numesh_kumar@gmail.com,1999-2-26
95621,rohitash,90538699656,m,9100190509056,rohitash@gmail.com,1991-8-15
8149,surender @ pale ram,70397588312,m,9636507690822,surender_@_pale_ram@gmail.com,1987-1-9
65033,sahil alam,99365651157,m,6702460168724,sahil_alam@gmail.com,1992-3-9
47660,mohd israr,82999068902,m,2599438184589,mohd_israr@gmail.com,1996-4-13
10974,vinod kumar,82232279093,m,4144728721464,vinod_kumar@gmail.com,1992-6-23
75414,ganesh,96059588197,m,3872089050377,ganesh@gmail.com,1998-2-17
56358,jasvinder kaur @ roji,78740472632,m,8607360955643,jasvinder_kaur_@_roji@gmail.com,1988-8-3
88493,kanhiya,98122566071,m,7651856861390,kanhiya@gmail.com,1995-1-21
67682,raj tilak,92051044835,m,9493578632490,raj_tilak@gmail.com,1990-5-19
80473,anshu,72654130360,m,1200677334430,anshu@gmail.com,2002-10-10
99061,sumit,87675639141,m,3209975964820,sumit@gmail.com,1997-1-6
1112,ajit singh,75970580134,m,7432184525731,ajit_singh@gmail.com,2000-10-24
38329,moh. imran,98151490005,m,3896312934450,moh._imran@gmail.com,2000-7-25
21475,naved,93326785754,m,5239665340183,naved@gmail.com,1999-5-9
69740,suraj hajara,88180831249,m,9218846773498,suraj_hajara@gmail.com,1993-10-2
56221,rajesh rawat,76649053635,m,5780100599118,rajesh_rawat@gmail.com,1990-2-4
2323,shoukat,78668276402,m,5012535965110,shoukat@gmail.com,1988-7-15
99191,hitesh,93452115080,m,1127477005224,hitesh@gmail.com,1986-11-1
26038,itwari lal,92408289044,m,5306678305449,itwari_lal@gmail.com,1990-1-23
74475,ramu,88976077315,m,3257911800988,ramu@gmail.com,1996-11-26
36817,shri puran singh rawat,88835464449,m,7842613630861,shri_puran_singh_rawat@gmail.com,2003-9-25
65835,lala,73439951908,m,8334189282476,lala@gmail.com,1994-9-24
1407,bhura singh,73760021605,m,1364598200840,bhura_singh@gmail.com,1995-5-20
91575,naveen lal,95759447711,m,6742325510061,naveen_lal@gmail.com,1986-9-10
51641,balwan,78146205227,m,7467483001632,balwan@gmail.com,2000-9-19
81378,shahir,83761311729,m,8090545088278,shahir@gmail.com,1993-7-26
49218,prem kumar,76454620645,m,5818981861629,prem_kumar@gmail.com,1997-6-5
1333,narayan rawat,78953872800,m,2401376310872,narayan_rawat@gmail.com,2001-10-8
99433,satish,71245935809,m,9649198282435,satish@gmail.com,1994-3-9
40490,abhi,93422492472,m,2949720729375,abhi@gmail.com,1994-5-9
84486,sunder lal tiwari,95427245738,m,8152086696372,sunder_lal_tiwari@gmail.com,2003-1-25
98299,budh rai,75807086754,m,5127176523869,budh_rai@gmail.com,2001-10-22
69778,ram jatan,72306589234,m,9552262230871,ram_jatan@gmail.com,1996-8-17
