phone_number,plan_id,start_date,data_used
9999999000,15,2021-02-01,162.9
9999999001,17,2020-07-25,29.1
9999999002,11,2020-10-15,67.6
9999999003,9,2020-11-22,124.9
9999999004,1,2021-05-19,166.9
9999999005,17,2021-02-10,128.5
9999999006,3,2021-01-28,93.2
9999999007,5,2021-11-06,71.7
9999999008,23,2020-12-16,129.6
9999999009,5,2020-09-07,36.9
9999999010,21,2021-03-27,128.2
9999999011,15,2022-02-06,125.3
9999999012,27,2021-01-28,102.1
9999999013,15,2020-03-18,53.6
9999999014,13,2021-07-12,130.0
9999999015,1,2020-06-13,86.1
9999999016,17,2021-08-20,104.1
9999999017,11,2021-09-08,95.9
9999999018,29,2020-10-19,176.4
9999999019,1,2021-08-24,35.3
9999999020,21,2021-04-03,59.7
9999999021,17,2021-09-20,48.8
9999999022,23,2021-06-18,37.7
9999999023,7,2020-07-10,128.5
9999999024,1,2021-05-04,65.7
9999999025,3,2021-07-26,33.3
9999999026,25,2021-12-21,20.3
9999999027,23,2021-07-02,176.8
9999999028,17,2021-08-19,1.8
9999999029,27,2020-07-09,13.4
9999999030,19,2021-10-17,45.9
9999999031,11,2020-05-30,76.2
9999999032,7,2020-06-03,11.5
9999999033,7,2020-12-01,138.6
9999999034,17,2021-01-03,173.7
9999999035,15,2020-12-12,125.5
9999999036,21,2021-05-03,179.5
9999999037,5,2021-03-25,2.5
9999999038,15,2022-02-10,178.0
9999999039,13,2021-08-25,139.8
9999999040,17,2022-01-22,163.0
9999999041,19,2022-01-03,31.4
9999999042,17,2021-03-28,22.0
9999999043,21,2021-10-18,159.5
9999999044,17,2021-09-08,154.6
9999999045,25,2021-10-17,114.1
9999999046,3,2021-03-01,100.1
9999999047,15,2021-10-01,7.8
9999999048,11,2020-12-18,149.0
9999999049,7,2021-05-04,24.6
9999999050,17,2022-01-02,163.4
9999999051,11,2021-05-26,29.1
9999999052,15,2021-10-17,169.0
9999999053,15,2021-02-27,97.6
9999999054,25,2020-08-26,17.2
9999999055,23,2020-12-03,34.4
9999999056,5,2020-06-27,98.6
9999999057,23,2020-10-10,164.8
9999999058,5,2020-04-28,73.2
9999999059,21,2022-01-20,7.3
9999999060,25,2020-06-24,67.7
9999999061,3,2021-10-24,144.9
9999999062,5,2020-07-02,140.5
9999999063,17,2020-08-31,130.9
9999999064,23,2021-10-21,167.3
9999999065,15,2020-09-04,158.4
9999999066,13,2021-09-13,18.0
9999999067,19,2022-01-29,6.0
9999999068,3,2020-04-02,143.4
9999999069,11,2020-10-25,17.3
9999999070,5,2021-05-15,57.3
9999999071,3,2020-05-24,32.1
9999999072,7,2020-05-15,30.5
9999999073,19,2020-05-24,52.2
9999999074,27,2022-02-07,24.1
9999999075,23,2021-12-29,79.6
9999999076,11,2020-11-02,177.3
9999999077,9,2021-10-03,86.0
9999999078,27,2021-03-12,179.1
9999999079,1,2021-11-15,144.5
9999999080,27,2020-08-10,1.3
9999999081,17,2021-05-03,178.6
9999999082,21,2020-06-06,76.9
9999999083,13,2021-08-27,4.6
9999999084,3,2021-09-14,115.2
9999999085,11,2021-12-30,6.8
9999999086,19,2020-07-26,26.7
9999999087,13,2020-05-21,156.8
9999999088,9,2020-09-02,117.5
9999999089,11,2021-12-04,140.4
9999999090,27,2020-06-18,3.8
9999999091,13,2021-05-05,9.9
9999999092,21,2022-02-04,120.4
9999999093,19,2020-06-26,40.4
9999999094,5,2020-03-19,148.4
9999999095,5,2020-05-22,79.9
9999999096,17,2020-08-31,13.5
9999999097,29,2022-01-06,84.1
