phone_number,plan_id,start_date,l_minutes,s_minutes,i_minutes,calls,sms
9999999000,16,2021-04-07,80564,2173,92,9518,315
9999999001,14,2020-04-30,70411,9209,87,9561,209
9999999002,4,2020-09-06,116020,4740,110,10272,1197
9999999003,6,2020-09-10,91481,8606,50,8157,1162
9999999004,2,2021-07-13,35146,10950,6,11478,24
9999999005,8,2020-03-25,19201,9063,46,231,386
9999999006,6,2020-03-25,79954,4609,63,10034,557
9999999007,4,2021-12-24,112769,5822,2,9,174
9999999008,16,2020-07-07,77445,9548,73,7186,1020
9999999009,18,2022-02-04,90690,3017,38,9253,743
9999999010,14,2021-03-07,13,1204,111,1221,921
9999999011,22,2021-02-01,22061,7763,81,10174,606
9999999012,12,2020-07-19,111560,8123,106,9284,436
9999999013,8,2021-03-11,13746,7556,22,9287,758
9999999014,26,2021-08-03,92000,11002,20,6541,981
9999999015,14,2021-06-27,100054,10477,35,8143,529
9999999016,14,2020-04-16,63206,5343,36,1145,270
9999999017,20,2021-05-26,7145,489,39,3018,687
9999999018,20,2021-05-16,63580,5500,95,1951,618
9999999019,8,2021-08-28,3998,11669,84,8828,795
9999999020,28,2020-12-27,110391,6136,114,7935,858
9999999021,2,2021-06-29,89344,7627,0,5699,731
9999999022,24,2020-03-27,66035,2796,62,11979,45
9999999023,10,2020-07-20,26856,6651,72,1418,623
9999999024,12,2021-07-31,54116,6513,16,5247,793
9999999025,14,2020-06-20,85229,785,50,11888,747
9999999026,22,2021-08-08,110908,4234,57,6145,975
9999999027,8,2020-11-04,110054,1422,88,7477,654
9999999028,16,2020-10-25,23027,4194,93,5300,236
9999999029,16,2021-03-13,110818,11851,22,2229,522
9999999030,20,2020-06-13,104838,11468,8,2969,1003
9999999031,2,2021-03-02,67411,3220,80,506,734
9999999032,10,2020-08-16,45502,2026,39,1007,572
9999999033,18,2020-09-09,20661,7380,119,5267,654
9999999034,30,2021-03-08,71271,11077,32,5967,635
9999999035,28,2021-07-27,109333,9646,73,9858,364
9999999036,2,2021-12-11,23617,8285,45,3585,396
9999999037,10,2020-08-14,19,6550,95,159,429
9999999038,2,2021-08-08,53830,7989,108,10564,670
9999999039,22,2020-12-08,48717,7302,25,9168,338
9999999040,6,2022-01-30,92570,7687,119,9115,1127
9999999041,14,2021-01-13,68906,10581,109,2273,152
9999999042,30,2021-09-03,66988,8326,20,7618,587
9999999043,20,2021-10-14,72696,1786,19,10529,591
9999999044,16,2020-03-18,97615,1387,82,8125,1118
9999999045,14,2021-05-18,114482,11356,92,8712,921
9999999046,28,2021-03-08,4396,2514,68,1297,593
9999999047,14,2021-03-05,45119,6033,82,3901,486
9999999048,26,2020-09-16,38695,11115,116,5243,132
9999999049,18,2022-01-25,8156,9112,118,11972,137
9999999050,28,2020-05-22,5160,9562,93,6484,55
9999999051,10,2020-03-31,88967,5346,45,5432,939
9999999052,24,2020-03-16,10708,9304,88,7298,474
9999999053,10,2021-06-25,84547,7441,35,10435,1098
9999999054,8,2021-11-13,6538,9818,120,8064,677
9999999055,18,2020-12-12,39021,9424,76,4070,889
9999999056,16,2020-06-26,64109,4230,113,1664,478
9999999057,30,2020-08-19,43521,2521,111,10233,655
9999999058,16,2020-11-27,67912,3216,17,9717,1142
9999999059,22,2020-09-22,77006,8270,38,1713,220
9999999060,2,2020-09-21,51751,594,78,3923,201
9999999061,12,2020-12-29,86785,10594,66,10518,641
9999999062,4,2021-06-17,87536,7891,19,6335,82
9999999063,4,2021-08-14,58205,6021,40,5833,1190
9999999064,12,2020-08-02,51192,6978,16,4973,229
9999999065,20,2020-10-25,117270,1725,43,2943,17
9999999066,18,2020-07-22,14084,7849,85,7606,793
9999999067,12,2020-10-18,2215,7913,48,867,600
9999999068,10,2020-10-15,64174,6229,81,7782,631
9999999069,4,2020-12-13,7485,9523,18,11894,589
9999999070,16,2020-09-28,106558,5358,69,10084,749
9999999071,18,2021-08-28,68751,10748,71,807,390
9999999072,8,2021-11-27,84898,4553,27,2824,296
9999999073,24,2020-09-23,24582,9072,83,5426,589
9999999074,28,2020-05-31,47727,8712,88,7922,819
9999999075,28,2021-02-09,49004,7714,46,4032,554
9999999076,6,2021-02-17,92921,8454,72,688,387
9999999077,24,2020-09-24,25259,11713,70,9749,771
9999999078,18,2021-03-19,68309,3755,41,6100,472
9999999079,22,2020-08-16,83355,2145,66,6640,657
9999999080,10,2021-05-18,110424,7092,86,9889,264
9999999081,12,2021-05-01,15787,3899,16,8990,485
9999999082,28,2021-12-08,35253,2853,108,9427,309
9999999083,24,2020-05-26,16341,4022,68,1058,489
9999999084,4,2020-11-09,16011,5475,11,3091,859
9999999085,28,2021-07-01,5651,1210,114,7207,99
9999999086,6,2021-10-23,58471,326,50,9655,1173
9999999087,10,2020-04-16,100677,135,2,4199,286
9999999088,24,2020-07-19,16437,7804,22,8192,350
9999999089,20,2021-03-04,58322,7505,73,2602,446
9999999090,16,2020-12-13,25073,6665,60,7222,485
9999999091,12,2021-02-04,70060,11891,55,8975,198
9999999092,2,2021-07-13,107329,5773,31,9107,1145
9999999093,8,2020-05-05,13140,4038,81,6840,113
9999999094,16,2020-06-26,33295,10761,79,10660,207
9999999095,16,2021-12-03,61811,632,63,1608,33
9999999096,4,2020-05-10,57578,9493,112,9263,406
9999999097,14,2021-01-13,30983,3663,4,5985,1194
9999999098,30,2021-06-28,107335,302,82,2898,291
9999999099,4,2020-08-18,70279,1422,10,9674,170
9999999100,2,2020-06-04,72121,10574,8,8110,130
9999999101,4,2021-11-09,19192,182,41,2060,1037
9999999102,6,2021-11-24,4330,1250,93,7407,346
9999999103,4,2021-10-01,90847,6238,88,6765,592
9999999104,12,2021-03-22,110193,7976,70,4557,151
9999999105,20,2021-08-27,117481,5566,57,8683,419
